track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
2,1,100,car,967.255,985.657,1.449,-0.161,-0.111,4.77,2.04
2,2,200,car,967.4,985.641,1.456,-0.161,-0.11,4.77,2.04
2,3,300,car,967.546,985.625,1.468,-0.162,-0.11,4.77,2.04
2,4,400,car,967.693,985.609,1.483,-0.163,-0.109,4.77,2.04
2,5,500,car,967.841,985.594,1.501,-0.164,-0.109,4.77,2.04
2,6,600,car,967.992,985.578,1.52,-0.165,-0.108,4.77,2.04
2,7,700,car,968.144,985.562,1.537,-0.166,-0.107,4.77,2.04
2,8,800,car,968.298,985.546,1.552,-0.166,-0.107,4.77,2.04
2,9,900,car,968.453,985.531,1.563,-0.166,-0.106,4.77,2.04
2,10,1000,car,968.61,985.515,1.57,-0.166,-0.105,4.77,2.04
2,11,1100,car,968.767,985.5,1.573,-0.164,-0.104,4.77,2.04
2,12,1200,car,968.925,985.485,1.571,-0.163,-0.103,4.77,2.04
2,13,1300,car,969.082,985.47,1.564,-0.16,-0.102,4.77,2.04
2,14,1400,car,969.239,985.456,1.553,-0.158,-0.101,4.77,2.04
2,15,1500,car,969.394,985.441,1.538,-0.154,-0.1,4.77,2.04
2,16,1600,car,969.548,985.428,1.518,-0.151,-0.099,4.77,2.04
2,17,1700,car,969.7,985.415,1.494,-0.146,-0.098,4.77,2.04
2,18,1800,car,969.85,985.402,1.466,-0.142,-0.096,4.77,2.04
2,19,1900,car,969.997,985.39,1.434,-0.137,-0.095,4.77,2.04
2,20,2000,car,970.14,985.378,1.4,-0.132,-0.094,4.77,2.04
2,21,2100,car,970.28,985.367,1.363,-0.127,-0.093,4.77,2.04
2,22,2200,car,970.417,985.356,1.323,-0.122,-0.092,4.77,2.04
2,23,2300,car,970.549,985.346,1.282,-0.116,-0.09,4.77,2.04
2,24,2400,car,970.678,985.336,1.239,-0.111,-0.089,4.77,2.04
2,25,2500,car,970.802,985.326,1.196,-0.106,-0.088,4.77,2.04
2,26,2600,car,970.922,985.317,1.154,-0.101,-0.087,4.77,2.04
2,27,2700,car,971.037,985.309,1.113,-0.096,-0.087,4.77,2.04
2,28,2800,car,971.148,985.301,1.074,-0.092,-0.086,4.77,2.04
2,29,2900,car,971.256,985.293,1.039,-0.089,-0.085,4.77,2.04
2,30,3000,car,971.36,985.285,1.01,-0.085,-0.084,4.77,2.04
2,31,3100,car,971.461,985.277,0.989,-0.083,-0.084,4.77,2.04
2,32,3200,car,971.56,985.27,0.976,-0.081,-0.083,4.77,2.04
2,33,3300,car,971.658,985.262,0.973,-0.081,-0.083,4.77,2.04
2,34,3400,car,971.755,985.255,0.982,-0.081,-0.082,4.77,2.04
2,35,3500,car,971.853,985.247,1.005,-0.082,-0.082,4.77,2.04
2,36,3600,car,971.954,985.24,1.04,-0.085,-0.081,4.77,2.04
2,37,3700,car,972.058,985.232,1.09,-0.089,-0.081,4.77,2.04
2,38,3800,car,972.167,985.224,1.154,-0.093,-0.081,4.77,2.04
2,39,3900,car,972.282,985.215,1.231,-0.099,-0.08,4.77,2.04
2,40,4000,car,972.406,985.206,1.32,-0.106,-0.08,4.77,2.04
2,41,4100,car,972.538,985.196,1.419,-0.113,-0.079,4.77,2.04
2,42,4200,car,972.68,985.186,1.527,-0.121,-0.079,4.77,2.04
2,43,4300,car,972.832,985.174,1.64,-0.129,-0.079,4.77,2.04
2,44,4400,car,972.997,985.162,1.756,-0.138,-0.078,4.77,2.04
2,45,4500,car,973.172,985.149,1.871,-0.147,-0.078,4.77,2.04
2,46,4600,car,973.36,985.135,1.983,-0.155,-0.078,4.77,2.04
2,47,4700,car,973.558,985.121,2.087,-0.163,-0.078,4.77,2.04
2,48,4800,car,973.767,985.105,2.181,-0.171,-0.078,4.77,2.04
2,49,4900,car,973.985,985.088,2.262,-0.178,-0.078,4.77,2.04
2,50,5000,car,974.211,985.07,2.328,-0.184,-0.079,4.77,2.04
2,51,5100,car,974.444,985.051,2.377,-0.189,-0.08,4.77,2.04
